,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
0,14.0,73,9.5,82.0,partly cloudy,1010.82,2,Winter,3.5,inland,Rainy
1,39.0,96,8.5,71.0,partly cloudy,1011.43,7,Spring,10.0,inland,Cloudy
2,30.0,64,7.0,16.0,clear,1018.72,5,Spring,5.5,mountain,Sunny
3,38.0,83,1.5,82.0,clear,1026.25,7,Spring,1.0,coastal,Sunny
4,27.0,74,17.0,66.0,overcast,990.67,1,Winter,2.5,mountain,Rainy
5,32.0,55,3.5,26.0,overcast,1010.03,2,Summer,5.0,inland,Cloudy
6,-2.0,97,8.0,86.0,overcast,990.87,1,Winter,4.0,inland,Snowy
7,3.0,85,6.0,96.0,partly cloudy,984.46,1,Winter,3.5,inland,Snowy
8,3.0,83,6.0,66.0,overcast,999.44,0,Winter,1.0,mountain,Snowy
9,28.0,74,8.5,107.0,clear,1012.13,8,Winter,7.5,coastal,Sunny
10,35.0,45,6.0,86.0,partly cloudy,879.88,2,Spring,1.0,mountain,Cloudy
11,38.0,43,2.0,16.0,clear,1029.16,11,Autumn,7.5,inland,Sunny
12,12.0,59,10.5,25.0,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy
13,-10.0,87,15.0,67.0,overcast,986.19,0,Winter,1.5,inland,Snowy
14,24.0,21,3.5,8.0,clear,1018.88,8,Winter,5.5,coastal,Sunny
15,10.0,50,6.5,46.0,partly cloudy,1000.44,2,Summer,8.5,mountain,Cloudy
16,30.0,27,7.0,13.0,partly cloudy,1016.38,5,Spring,7.5,inland,Sunny
17,33.0,51,0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy
18,43.0,46,0.5,15.0,clear,1025.8,9,Spring,6.0,mountain,Sunny
19,13.0,102,12.0,72.0,clear,1012.25,4,Summer,8.0,inland,Sunny
20,-10.0,67,8.5,75.0,overcast,991.53,1,Winter,3.0,mountain,Snowy
21,-7.0,88,12.5,98.0,overcast,980.31,1,Winter,3.0,inland,Snowy
