,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
4176,25.0,76,8.0,25.0,overcast,1015.26,1,Spring,8.5,coastal,Cloudy
7729,11.0,79,12.5,60.0,partly cloudy,992.93,0,Summer,2.0,inland,Rainy
3295,14.0,65,10.5,58.0,overcast,1007.55,0,Summer,3.0,coastal,Rainy
11387,12.0,95,19.5,64.0,overcast,999.39,2,Spring,1.0,mountain,Rainy
8483,34.0,65,20.0,56.0,partly cloudy,1019.24,3,Spring,3.5,coastal,Rainy
11703,-3.0,74,16.5,99.0,overcast,980.2,1,Winter,4.5,mountain,Snowy
1622,28.0,67,10.0,42.0,partly cloudy,1011.76,2,Autumn,5.0,inland,Cloudy
11967,34.0,66,16.0,96.0,partly cloudy,993.05,1,Spring,4.0,coastal,Rainy
9440,27.0,33,14.0,39.0,overcast,1082.13,2,Summer,18.0,coastal,Snowy
13022,-3.0,82,19.0,66.0,overcast,982.55,1,Winter,4.5,mountain,Snowy
8432,39.0,41,1.5,10.0,clear,1010.84,11,Winter,6.5,inland,Sunny
659,10.0,77,11.5,79.0,partly cloudy,1002.35,3,Autumn,2.5,coastal,Rainy
1558,20.0,94,13.5,105.0,clear,1025.18,4,Autumn,7.5,mountain,Sunny
2088,27.0,75,5.0,19.0,partly cloudy,1012.9,2,Winter,5.5,coastal,Cloudy
2018,42.0,87,17.5,100.0,partly cloudy,1016.17,8,Summer,8.0,inland,Cloudy
1682,40.0,37,8.5,2.0,clear,1025.95,11,Spring,5.5,mountain,Sunny
6752,-11.0,69,14.0,52.0,cloudy,1094.52,4,Winter,9.0,coastal,Snowy
6012,31.0,51,8.0,10.0,overcast,1019.04,1,Autumn,8.5,coastal,Cloudy
4211,20.0,52,13.5,49.0,partly cloudy,1007.18,4,Spring,8.5,coastal,Cloudy
607,30.0,60,6.5,75.0,overcast,998.88,1,Autumn,4.0,coastal,Rainy
8712,-8.0,71,11.5,14.0,partly cloudy,952.25,5,Spring,0.5,mountain,Snowy
6940,-3.0,72,12.0,93.0,partly cloudy,990.1,1,Winter,1.0,inland,Snowy
7932,22.0,33,3.0,16.0,clear,1029.91,6,Autumn,8.5,mountain,Sunny
3762,34.0,48,6.5,17.0,clear,1018.92,11,Summer,7.5,coastal,Sunny
1669,23.0,51,2.5,1.0,clear,1018.72,9,Winter,5.5,mountain,Sunny
8169,3.0,99,14.0,93.0,overcast,980.85,0,Winter,3.0,mountain,Snowy
2536,2.0,73,7.5,65.0,partly cloudy,993.68,0,Winter,2.0,mountain,Snowy
1860,27.0,63,9.0,72.0,overcast,1000.61,0,Summer,4.0,coastal,Rainy
8044,28.0,44,5.0,16.0,clear,1020.06,7,Winter,6.0,mountain,Sunny
5717,38.0,58,4.0,0.0,partly cloudy,1014.22,5,Spring,8.5,inland,Sunny
12417,0.0,80,13.0,84.0,partly cloudy,980.45,1,Winter,3.0,inland,Snowy
3743,34.0,48,9.0,18.0,clear,1020.05,8,Winter,7.5,mountain,Sunny
10393,23.0,31,3.5,18.0,partly cloudy,827.69,8,Autumn,8.0,mountain,Sunny
9469,42.0,66,5.0,2.0,clear,1014.78,11,Winter,6.0,coastal,Sunny
2009,24.0,64,8.0,4.0,partly cloudy,1026.0,7,Summer,7.0,inland,Sunny
8325,28.0,36,3.5,19.0,partly cloudy,1027.22,11,Autumn,9.0,inland,Sunny
10986,30.0,44,12.5,88.0,partly cloudy,969.76,10,Spring,17.0,mountain,Snowy
10873,14.0,76,5.5,52.0,overcast,1013.24,2,Autumn,1.0,mountain,Rainy
5039,42.0,23,1.0,8.0,clear,1015.73,7,Winter,5.5,inland,Sunny
233,14.0,68,11.5,11.0,overcast,1012.85,2,Winter,6.5,coastal,Cloudy
10415,21.0,73,6.0,86.0,partly cloudy,1010.37,3,Winter,2.0,coastal,Rainy
1267,38.0,56,1.0,13.0,clear,1017.0,9,Autumn,7.0,coastal,Sunny
3411,19.0,57,6.5,19.0,partly cloudy,1018.46,2,Summer,6.0,inland,Cloudy
6825,-4.0,71,0.5,99.0,overcast,997.13,0,Winter,2.5,mountain,Snowy
1361,66.0,107,13.0,109.0,partly cloudy,1014.55,6,Summer,7.0,mountain,Cloudy
11232,14.0,84,13.0,56.0,overcast,1001.65,3,Spring,5.0,mountain,Rainy
5722,22.0,52,0.5,8.0,partly cloudy,1018.6,10,Summer,7.5,mountain,Sunny
4139,2.0,64,7.5,87.0,partly cloudy,990.1,0,Winter,2.0,mountain,Snowy
10800,28.0,88,16.0,89.0,partly cloudy,995.21,0,Winter,3.0,mountain,Rainy
7462,-10.0,92,1.5,94.0,overcast,991.06,0,Winter,3.0,inland,Snowy
12514,16.0,92,25.5,80.0,overcast,1016.66,7,Autumn,2.5,coastal,Rainy
10758,-10.0,72,9.0,94.0,cloudy,816.85,12,Summer,13.0,mountain,Sunny
2306,-7.0,92,4.5,78.0,overcast,990.01,5,Winter,3.0,mountain,Snowy
3270,21.0,70,20.0,101.0,overcast,1010.6,13,Summer,10.5,coastal,Cloudy
2067,40.0,68,8.5,18.0,partly cloudy,1022.23,11,Spring,9.5,mountain,Sunny
5145,31.0,88,15.0,51.0,overcast,995.1,3,Spring,1.5,inland,Rainy
5261,11.0,103,8.0,108.0,clear,1017.03,7,Summer,9.0,mountain,Sunny
612,11.0,74,6.0,86.0,overcast,1009.58,3,Spring,2.5,mountain,Rainy
3940,24.0,25,0.0,1.0,clear,1015.9,5,Autumn,6.0,coastal,Sunny
5220,33.0,57,4.0,14.0,clear,1020.51,10,Summer,9.5,coastal,Sunny
7993,26.0,50,11.0,14.0,partly cloudy,1006.46,4,Winter,7.0,mountain,Cloudy
6664,21.0,91,8.5,62.0,overcast,1016.56,1,Summer,4.5,inland,Rainy
73,31.0,62,6.5,84.0,overcast,1013.61,0,Spring,4.5,inland,Rainy
4889,-2.0,68,10.0,51.0,overcast,984.99,1,Winter,5.0,mountain,Snowy
5560,19.0,25,7.5,78.0,cloudy,927.22,7,Winter,15.0,coastal,Snowy
12486,23.0,91,23.0,89.0,overcast,1013.79,5,Spring,3.0,coastal,Rainy
3429,13.0,55,7.5,18.0,overcast,1009.51,1,Summer,8.0,mountain,Cloudy
2024,-10.0,69,4.5,76.0,overcast,985.12,0,Winter,4.5,mountain,Snowy
1978,28.0,45,7.5,1.0,clear,1019.2,9,Spring,5.0,inland,Sunny
3013,22.0,66,3.0,30.0,overcast,1003.22,2,Autumn,6.5,coastal,Cloudy
4446,-8.0,81,3.5,57.0,overcast,986.66,0,Winter,3.0,inland,Snowy
1964,32.0,54,11.0,46.0,overcast,1009.87,2,Spring,7.0,inland,Cloudy
891,3.0,82,17.0,59.0,overcast,984.41,0,Winter,4.0,mountain,Snowy
2029,16.0,64,11.5,44.0,partly cloudy,1004.43,1,Spring,6.0,coastal,Cloudy
7115,29.0,77,8.0,20.0,overcast,1001.24,2,Summer,6.5,mountain,Cloudy
11712,2.0,96,2.0,83.0,overcast,993.76,1,Winter,4.5,mountain,Snowy
2882,21.0,55,6.0,19.0,overcast,1017.92,1,Winter,5.5,coastal,Cloudy
11288,14.0,73,19.0,74.0,partly cloudy,994.61,3,Spring,3.0,coastal,Rainy
9502,32.0,81,28.0,95.0,partly cloudy,1001.64,4,Autumn,7.0,coastal,Cloudy
670,21.0,35,1.0,19.0,partly cloudy,1029.78,5,Winter,7.0,mountain,Sunny
9809,31.0,67,6.0,17.0,clear,1017.77,11,Spring,6.0,mountain,Sunny
3645,24.0,54,12.5,10.0,overcast,1000.83,1,Summer,8.0,mountain,Cloudy
4034,29.0,42,2.0,0.0,partly cloudy,1011.77,9,Winter,9.5,mountain,Sunny
2544,-19.0,54,1.5,22.0,overcast,1121.08,11,Winter,9.5,coastal,Cloudy
1613,-4.0,84,13.5,99.0,overcast,992.85,1,Winter,1.5,inland,Snowy
11798,18.0,39,3.5,50.0,cloudy,1039.77,4,Spring,16.5,mountain,Snowy
1664,1.0,85,4.0,59.0,overcast,983.49,1,Winter,3.5,inland,Snowy
8708,28.0,104,13.0,101.0,partly cloudy,1025.41,14,Autumn,9.5,inland,Sunny
10320,-9.0,89,18.5,51.0,overcast,995.59,0,Winter,5.0,inland,Snowy
7040,54.0,109,13.5,83.0,partly cloudy,997.96,10,Spring,2.0,mountain,Rainy
7774,23.0,21,5.0,55.0,cloudy,1123.97,1,Winter,2.0,inland,Snowy
7996,-22.0,86,1.5,76.0,overcast,999.48,1,Winter,1.0,inland,Snowy
11623,46.0,40,13.0,19.0,partly cloudy,841.67,1,Winter,4.0,mountain,Cloudy
2120,26.0,99,19.5,89.0,overcast,996.13,3,Summer,2.5,inland,Rainy
4241,26.0,60,7.5,50.0,partly cloudy,1003.0,1,Spring,2.0,inland,Rainy
13044,28.0,61,5.0,19.0,clear,1027.48,7,Autumn,8.0,inland,Sunny
3918,-7.0,78,17.0,80.0,overcast,995.95,1,Winter,4.5,mountain,Snowy
8813,15.0,50,6.5,71.0,cloudy,1139.9,9,Autumn,18.0,coastal,Cloudy
3097,23.0,78,1.0,29.0,partly cloudy,1013.57,2,Autumn,6.0,coastal,Cloudy
2321,28.0,70,16.5,79.0,overcast,992.25,0,Spring,4.5,mountain,Rainy
12202,43.0,35,5.0,1.0,partly cloudy,1024.76,6,Autumn,6.5,coastal,Sunny
7172,-9.0,91,8.5,99.0,partly cloudy,997.7,0,Winter,4.5,mountain,Snowy
4392,43.0,37,7.5,97.0,partly cloudy,1199.21,3,Spring,12.5,mountain,Snowy
10564,-8.0,60,19.0,55.0,partly cloudy,995.01,1,Winter,2.0,inland,Snowy
10001,48.0,67,10.0,53.0,partly cloudy,1144.28,9,Winter,17.0,coastal,Cloudy
425,0.0,88,4.5,59.0,overcast,983.67,0,Winter,4.0,inland,Snowy
9043,30.0,64,10.0,27.0,overcast,1006.29,3,Winter,5.0,coastal,Cloudy
11305,19.0,79,14.0,83.0,overcast,997.19,3,Autumn,2.5,coastal,Rainy
7669,34.0,76,14.5,49.0,partly cloudy,1014.8,2,Winter,7.0,inland,Cloudy
7845,30.0,47,8.5,13.0,partly cloudy,1020.78,5,Spring,6.0,inland,Sunny
6461,43.0,30,4.0,19.0,partly cloudy,1028.42,11,Spring,5.5,coastal,Sunny
10419,22.0,84,16.5,62.0,overcast,1009.7,1,Spring,3.0,coastal,Rainy
1937,-4.0,90,10.0,62.0,overcast,995.39,1,Winter,5.0,mountain,Snowy
10056,-5.0,77,8.0,18.0,partly cloudy,1153.56,14,Summer,19.0,coastal,Cloudy
4781,-18.0,49,9.0,87.0,partly cloudy,980.61,2,Summer,19.5,coastal,Cloudy
3963,24.0,38,4.5,15.0,partly cloudy,1029.37,9,Spring,7.0,mountain,Sunny
4571,11.0,72,5.5,10.0,partly cloudy,1004.98,1,Summer,8.0,mountain,Cloudy
9042,46.0,37,0.5,38.0,overcast,821.78,10,Winter,5.0,inland,Sunny
10920,23.0,72,10.0,94.0,partly cloudy,1019.95,2,Autumn,2.0,coastal,Rainy
10433,-12.0,47,9.5,76.0,cloudy,1167.73,4,Summer,5.5,mountain,Sunny
